event,date,fighter,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Alex Pereira,5.1106833493744,61.9964973730298,3.69586140519731,51.3307984790874,0.21655437921078,100.0,70.3703703703704,0.21655437921078
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Bobby Green,6.23091482649842,52.5039872408293,3.7589905362776,62.3292867981791,1.13564668769716,39.2156862745098,71.830985915493,0.28391167192429
UFC 291: Poirier vs. Gaethje 2,2023-07-29,CJ Vergara,5.91638180383907,57.9598145285935,5.01709176965553,53.5766423357664,0.0,,73.0769230769231,0.236655272153563
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Claudio Ribeiro,4.54388984509466,57.516339869281,3.407917383821,29.7872340425532,0.774526678141136,50.0,75.0,0.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Darrius Flowers,4.72647702407002,56.25,7.87746170678337,40.5940594059406,1.96936542669584,33.3333333333333,100.0,0.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Derrick Lewis,2.60300850228908,50.593220338983,2.58556790930892,41.2871287128713,0.588620013080445,28.125,52.3255813953488,0.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Dustin Poirier,5.63204005006258,50.7692307692308,4.40664466947321,54.0078375489847,1.43361019456138,36.8421052631579,62.3188405797101,1.02400728182956
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Gabriel Bonfim,5.90163934426229,36.3636363636364,4.91803278688525,44.4444444444444,7.37704918032787,100.0,100.0,14.7540983606557
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Jake Matthews,3.26713008937438,45.8536585365854,2.33366434955313,60.8985024958403,1.71300893743793,41.0714285714286,61.5384615384615,0.670307845084409
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Jan Blachowicz,3.41308220921354,50.1402131239484,2.91295495036905,53.0461538461538,1.08806312038687,50.0,68.9655172413793,0.343598880122168
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Justin Gaethje,7.34850640113798,60.2519244226732,7.50213371266003,53.7368421052632,0.128022759601707,25.0,75.0,0.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Kevin Holland,4.00494437577256,53.1496062992126,3.07045735475896,52.1939953810624,0.889987639060569,46.1538461538462,53.3333333333333,0.593325092707046
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Marcos Rogerio de Lima,3.53793103448276,58.6620926243568,2.49310344827586,52.0874751491054,1.55172413793103,47.6190476190476,66.6666666666667,0.620689655172414
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Matthew Semelsberger,4.06335865524487,43.2851239669421,4.36398900921287,55.0,1.01826410214967,58.3333333333333,50.0,0.145466300307096
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Michael Chiesa,1.87207488299532,40.9731113956466,1.69656786271451,54.1864139020537,3.33463338533541,50.6666666666667,60.6060606060606,0.965288611544462
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Miranda Maverick,3.71102916526986,46.7680608365019,2.6248742876299,59.1549295774648,2.41367750586658,48.4848484848485,42.1052631578947,0.452564532349983
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Priscila Cachoeira,4.1234221598878,43.8618925831202,7.12883189741535,45.2952029520295,0.180324584251653,33.3333333333333,65.7142857142857,0.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Roman Kopylov,4.66378778531771,52.5,4.14558914250463,59.1985428051002,0.555212831585441,50.0,90.0,0.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Tony Ferguson,4.98417721518987,45.2911574406902,4.25632911392405,56.4019448946515,0.415348101265823,35.0,66.6666666666667,0.949367088607595
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Trevin Giles,2.97029702970297,53.8461538461539,2.09078050662209,59.672619047619,1.27298444130127,55.0,71.4285714285714,0.347177574900347
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Uros Medic,6.33375474083439,57.9861111111111,4.17193426042984,56.8627450980392,0.56890012642225,100.0,80.0,0.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Vinicius Salvador,4.5,41.5384615384615,5.7,42.809364548495,0.5,12.5,86.3636363636364,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Andre Fili,3.82854578096948,37.3140857392826,4.13375224416517,51.4240506329114,2.22172351885099,47.8260869565217,69.1176470588235,0.269299820466786
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Andre Muniz,1.95363375879135,46.4684014869888,2.12555352956499,54.2087542087542,3.04766866371451,43.3333333333333,33.3333333333333,1.64105235738474
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Bruna Brasil,3.12775330396476,63.3928571428571,4.75770925110132,54.4303797468354,1.3215859030837,50.0,40.0,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Bryan Barberena,5.53001876172608,48.2800982800983,4.74202626641651,44.2668136714443,0.140712945590994,22.2222222222222,49.5726495726496,0.281425891181989
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Chris Duncan,4.6,47.7508650519031,2.73333333333333,53.9325842696629,3.5,38.8888888888889,100.0,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Daniel Barez,5.24271844660194,60.0,6.11650485436893,61.1111111111111,0.0,,75.0,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Daniel Marcos,4.52914798206278,46.3302752293578,4.17040358744395,67.3684210526316,0.672645739910314,50.0,100.0,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Danny Roberts,3.18271119842829,39.55078125,3.72495088408644,50.9824198552223,0.235756385068762,9.52380952380952,57.5,0.235756385068762
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Davey Grant,4.77160927617709,42.8661616161616,3.8158819395643,55.9610705596107,1.26493323963458,41.3793103448276,61.1111111111111,0.210822206605762
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Fares Ziam,2.82444396458648,47.0842332613391,2.00820557115094,65.5555555555556,0.971712373137551,23.8095238095238,75.0,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Jafel Filho,1.66975881261596,32.967032967033,1.89239332096475,43.3333333333333,0.834879406307978,25.0,50.0,2.50463821892393
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Jai Herbert,2.69453090262339,41.0569105691057,3.14806580702534,45.4965357967667,0.200088928412628,10.0,57.6923076923077,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Jamal Pogues,2.3,35.3846153846154,4.4,50.9293680297398,2.5,41.6666666666667,50.0,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Joel Alvarez,3.64535499823384,46.6124661246612,3.36983398092547,50.3125,0.0,0.0,11.1111111111111,1.27163546450018
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Jonny Parsons,6.33165829145729,50.8064516129032,4.42211055276382,66.9172932330827,0.0,,100.0,0.0
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Josh Culibao,2.6782145236509,42.6751592356688,3.29113924050633,56.7425569176883,0.0,0.0,72.7272727272727,0.399733510992672
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Julija Stoliarenko,2.81037522034752,40.7894736842105,4.56308234701586,44.9908925318761,0.906572651725006,30.7692307692308,62.5,1.35985897758751
